GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
23460000,2941,17,23000000,1,8,1
1350000,56,9,2000000,0,4,1
832000,3,13,800000,0,1,1
7560000,201,20,5500000,0,10,1
6075000,371,23,4500000,0,2,1
3225153,50,10,4500000,0,2,1
25781563,704,17,21100000,0,8,1
10783851,414,14,10600644,0,3,1
12350000,1036,19,10000000,1,5,1
7679815,141,15,4670000,0,4,1
6027000,132,15,5740000,0,4,1
42021000,1956,23,26100000,1,9,1
5700000,128,15,4000000,0,4,1
22425000,571,20,15000000,0,9,1
29669997,773,23,18695650,1,6,1
36571500,4538,14,63000000,1,13,1
2887500,154,8,5500000,1,3,1
11520000,4321,12,16000000,1,7,1
2052000,28,6,3600000,0,2,1
15456000,1486,23,9600000,1,5,1
4703675,612,15,5000000,0,3,1
9949500,786,17,9000000,1,5,1
466667,87,5,1333333,0,4,1
7969500,100,15,6600000,0,4,1
5494125,179,21,3500000,0,7,1
5250000,240,12,6250000,0,4,1
23800000,3490,14,34000000,1,10,1
9240000,330,12,11000000,0,4,1
5103000,284,14,6000000,0,5,1
6573913,394,14,6956522,0,4,1
6037073,327,12,7300000,1,4,1
3780000,272,12,4500000,1,3,1
5586000,301,14,5700000,1,6,1
1883700,453,13,4500000,1,4,1
7774633,282,13,8050000,0,4,1
6755000,421,10,9650000,1,5,1
1560000,186,13,3000000,0,2,1
8400000,196,16,7500000,0,7,1
2695000,299,11,3500000,0,3,1
2940000,121,7,6000000,0,4,1
12500000,300,20,10000000,0,9,1
7875000,175,20,8750000,0,7,1
36811805,818,20,37000000,1,39,1
14400000,320,20,16000000,0,14,1
4200000,301,12,5000000,1,4,1
6609750,205,19,5250000,0,6,1
29756250,1287,18,25000000,1,15,1
18112500,1284,15,21000000,1,11,1
10937500,574,13,12500000,0,4,1
5070000,152,20,3900000,0,4,1
,970,13,34615000,1,9,1
19529650,970,13,34615000,1,9,1
18000000,1497,25,12500000,1,9,1
6280180,267,9,9000000,1,4,1
15453375,221,18,12100000,0,7,1
9450000,1635,9,15000000,1,3,1
5793480,415,18,4500000,1,4,1
4255000,317,15,5750000,0,10,1
9624825,360,14,9500000,0,4,1
5950000,291,17,5000000,1,4,1
30043998,735,19,24508617,0,9,1
6300000,431,12,7500000,0,5,1
19348334,657,12,13333334,0,8,1
6036687,243,13,6250000,0,6,1
13991250,1146,21,10250000,1,6,1
55890000,851,20,40500000,1,9,1
5232500,200,13,5000000,1,4,1
11992500,418,12,14375000,0,5,1
29539120,2023,19,28000000,1,9,1
14175000,293,15,13500000,0,7,1
18882501,20178,31,32051284,1,8,1
3150000,1723,10,4500000,1,3,1
16466625,351,25,14000000,0,17,1
,63,8,6250000,0,3,1
7724001,202,12,10277779,0,9,1
3668000,342,11,6550000,0,4,1
5589000,444,23,3600000,0,7,1
12246686,326,16,12378000,0,4,1
3600000,60,10,6000000,0,4,1
21821250,935,22,17250000,1,16,1
6435000,2936,9,11000000,1,5,1
2555000,35,20,1825000,0,5,1
1200000,36,5,3000000,0,2,1
2688000,77,8,4800000,0,5,1
3611250,77,15,5150000,0,8,1
2106000,95,12,3052174,0,2,1
4406250,98,10,7500000,0,3,1
7350000,105,15,7000000,0,4,1
4792500,107,15,7100000,0,14,1
4950000,110,20,5500000,0,7,1
5175000,115,25,4600000,0,16,1
5310000,118,20,5900000,0,11,1
5737500,124,15,8250000,0,7,1
3543750,146,15,4650000,0,6,1
8640000,192,20,9600000,0,12,1
8640000,192,20,9600000,0,11,1
8953875,196,15,13040000,0,13,1
9843750,200,15,12500000,0,4,1
4243155,222,14,4200000,0,2,1
10350000,230,20,11500000,0,10,1
10575000,235,20,11750000,0,9,1
10890000,242,20,12100000,0,8,1
